address,adm-fees,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude
"Rua Bernardo Mascarenhas, 227 - Cidade Jardim, Belo Horizonte - MG", ,3,3400000,5,412,Cidade Jardim,Belo Horizonte,-19.56148,-43.56539
"Rua Barbosa de Resende - Grajaú, Belo Horizonte – MG",,2,1350000,4,400,Grajaú,Belo Horizonte,-19.56204,-43.57504
"Rua Roma - Copacabana, Belo Horizonte – MG",,4,850000,3,360,Copacabana,Belo Horizonte,-19.50096,-43.59060
"Rua dos Sabiás, 10 - Vila Clóris, Belo Horizonte – MG",,2,499000,2,125,Vila Clóris,Belo Horizonte,-19.49373,-43.56493
"Rua Castor, 300 - Miramar, Belo Horizonte – MG",30,1,245000,2,75,Miramar,Belo Horizonte,-19.59437,-44.00490
"Rua Expedicionário Jordelino Alves - Santa Terezinha, Belo Horizonte – MG",,2,750000,3,90,Santa Terezinha,Belo Horizonte,-19.52264,-44.00396
"Rua Marcos Paulo de Vasconcelos - Maria Goretti, Belo Horizonte – MG",,3,500000,2,200,Maria Goretti,Belo Horizonte,-19.51360,-43.54432
"Rua Alagoas, 145 - Funcionários, Belo Horizonte – MG",,2-3,1988000,3,116,Funcionários,Belo Horizonte,-19.55427,-43.56026
"Rua Deputado José Raimundo, 100 - Dona Clara, Belo Horizonte – MG",300,1,520000,3,90,Dona Clara,Belo Horizonte,-19.51463,-43.56313
"Rua Deputado Fábio Vasconcelos - Buritis, Belo Horizonte – MG",,2,630000,1,47,Buritis,Belo Horizonte,-19.58192,-43.58336
"Rua José Cláudio Sanches - Califórnia, Belo Horizonte – MG",180,1,220000,3,60,Califórnia,Belo Horizonte,-19.55480,-44.01048
"Rua Afonso Ferreira Gomes - Paquetá, Belo Horizonte – MG",6,1,440000,2,85,Paquetá,Belo Horizonte,-19.52156,-43.59492
"Rua Dona Celuta Monteiro - Dona Clara, Belo Horizonte – MG",,1,350000,2,72,Dona Clara,Belo Horizonte,-19.51396,-43.56024
"Avenida José Cândido da Silveira, 846 - Cidade Nova, Belo Horizonte – MG",,2,460000,3,98,Cidade Nova,Belo Horizonte,-19.53276,-43.55120
"Rua Prof. Domício Murta, 383 - Ouro Preto, Belo Horizonte – MG",240,1,410000,2,55,Ouro Preto,Belo Horizonte,-19.52300,-43.59204
"Rua Magi Salomon - Salgado Filho, Belo Horizonte – MG",400,1,400000,3,80,Salgado Filho,Belo Horizonte,-19.56240,-43.59024
"Rua José Maria Botelho, 100 - Santa Mônica, Belo Horizonte – MG",1,2,312750,2,47,Santa Mônica,Belo Horizonte,-19.49367,-43.58120
"Rua Três Marias, 435 - Miramar, Belo Horizonte – MG",,--,220087,2,79,Miramar,Belo Horizonte,-19.59434,-44.00527
"Rua Santo Onofre - Manacás, Belo Horizonte – MG",300,2,400000,3,78,Manacás,Belo Horizonte,-19.53456,-43.59420
"Rua Egito, 250 - Copacabana, Belo Horizonte – MG",150,1,365000,2,65,Copacabana,Belo Horizonte,-19.49534,-43.59340
"Rua Santa Catarina, 1 - Lourdes, Belo Horizonte – MG",2642,2,1980000,3,127,Lourdes,Belo Horizonte,-19.55143,-43.56352
"Rua Maria Heilbuth Surette, 1 - Buritis, Belo Horizonte – MG",970,2,900000,4,119,Buritis,Belo Horizonte,-19.58333,-43.58177
"Rua Aureliano Lessa, 416 - Liberdade, Belo Horizonte – MG",750,3,1440000,4,157,Liberdade,Belo Horizonte,-19.51371,-43.57213
"Rua Professor Pedro Aleixo, 3 - Belvedere, Belo Horizonte – MG",,3,2700000,4,435,Belvedere,Belo Horizonte,-19.58023,-43.56268
"Rua Bráulio Gomes Nogueira, 400 - Tirol, Belo Horizonte – MG",,1,280000,3,75,Tirol,Belo Horizonte,-19.59085,-44.02327
"Rua da Bahia, 100 - Lourdes, Belo Horizonte – MG",,1,840000,2,54,Lourdes,Belo Horizonte,-19.54587,-43.56068
"Rua Professora Cecília Siqueira, 76-180 - Incofindência, Belo Horizonte - MG",,2,492000,2,67,Incofindência,Belo Horizonte,-19.54224,-43.59548
"Rua Arpoador, 10 - Lagoinha, Belo Horizonte – MG",,2,349000,2,120,Lagoinha,Belo Horizonte,-19.48206,-43.59384
"Rua Moreira Antunes - Beija Flor, Belo Horizonte – MG",,--,200000,2,100,Beija Flor,Belo Horizonte,-19.81754,-43.95639
"Rua Cissus, 77-11 - Juliana, Belo Horizonte – MG",,2,450000,4,145,Juliana,Belo Horizonte,-19.48396,-43.56420
"Avenida Paulo Camilo Pena, 530 - Belvedere, Belo Horizonte - MG",,2,870000,3,112,Belvedere,Belo Horizonte,-19.58192,-43.56312
"Rua Castelo de Sintra - Castelo, Belo Horizonte – MG",,4,1000000,4,154,Castelo,Belo Horizonte,-19.52372,-44.00108
"Rua Radialista José Correia, 10 - Céu Azul, Belo Horizonte – MG",150,2,310000,2,64,Céu Azul,Belo Horizonte,-19.49060,-43.59479
"Rua Rita Clemente da Silva, 16 - Diamante, Belo Horizonte – MG",,2,390000,2,95,Diamante,Belo Horizonte,-19.59420,-44.01156
"Rua Professora Vicentina Barreto, 117 - Planalto, Belo Horizonte – MG",,2,475000,2,90,Planalto,Belo Horizonte,-19.49319,-43.57120
"Rua Tunísia, 243 - Canaa, Belo Horizonte - MG",,4,1200000,4,355,Canaã,Belo Horizonte,-19.47492,-43.56492
"Rua Marrocos, 10 - Jardim Leblon, Belo Horizonte - MG",1,1,310000,2,74,Jardim Leblon,Belo Horizonte,-19.50012,-43.59307
"Rua Marquesa de Alorna, 169 - São Lucas, Belo Horizonte – MG",250,1,320000,1,35,São Lucas,Belo Horizonte,-19.55538,-43.55207
"Rua Desembargador Amílcar de Castro, 222 - Estoril, Belo Horizonte – MG",795,--,330000,1,30,Estoril,Belo Horizonte,-19.58016,-43.57231
"Rodovia Stael Mary Bicalho Motta Magalhães - Belvedere, Belo Horizonte – MG",919,1,760000,1,74,Belvedere,Belo Horizonte,-19.58336,-43.56420
"Rua Marlene Mendes Pereira - Céu Azul, Belo Horizonte – MG",,1,500000,2,99,Céu Azul,Belo Horizonte,-19.49084,-44.00036
"Rua Santo Antônio de Lisboa - São João Batista, Belo Horizonte - MG",,1,350000,2,58,São João Batista,Belo Horizonte,-19.48576,-43.58120
"Rua Barão de Aiuruoca - João Pinheiro, Belo Horizonte – MG",180,1,135000,1,36,João Pinheiro,Belo Horizonte,-19.55228,-44.00036
"Avenida Cristiano Machado, 1587 - Silveira, Belo Horizonte – MG",903,1,280000,1,42,Silveira,Belo Horizonte,-19.53377,-43.55412
"Rua Albatroz, 145 - Vila Cloris, Belo Horizonte – MG",,1,330000,3,67,Vila Clóris,Belo Horizonte,-19.49408,-43.56528
"Rua das Canárias - Santa Amélia, Belo Horizonte – MG",400,2,970000,3,157,Santa Amélia,Belo Horizonte,-19.50384,-43.58372
"Rua Vinhedo - Itaipu, Belo Horizonte – MG",125,1,180000,2,58,Itaipu,Belo Horizonte,-19.59420,-44.03000
"Rua Augusto Moreira - Santa Amélia, Belo Horizonte – MG",150,1,300000,2,65,Santa Amelia,Belo Horizonte,-19.50348,-43.58480
"Rua Rubem Berardo, 85 - Buritis, Belo Horizonte – MG",,2,1130000,2,122,Buritis,Belo Horizonte,-19.58408,-43.58430
"Rua dos Carijós, 508 - Centro, Belo Horizonte – MG",,--,353794,1,41,Centro,Belo Horizonte,-19.55071,-43.56248
